key,title,authors,year,venue,arxiv_or_id,url,github,category,memory_representation,semantic_dedup,cross_context_reuse,multi_view,token_optimization,context_compression,graph_or_hierarchy,benchmarks,main_results,relevance_to_project,verification
rmt2022,Recurrent Memory Transformer (RMT),"Bulatov, Kuratov, Burtsev",2022,NeurIPS 2022,arXiv:2207.06881,https://arxiv.org/abs/2207.06881,-,long-context-memory,Read/write memory tokens per segment (recurrence),No,No,No,Yes (fixed memory carries global info),Yes (bounded memory tokens),Segment-level recurrence,LM / algorithmic tasks,On par/above Transformer-XL on long-dependency tasks,MED: recurrence primitive underlying AutoCompressor,K (well-known)
infini2024,Infini-attention: Efficient Infinite Context Transformers,"Munkhdalai, Faruqui, Gopal",2024,arXiv preprint,arXiv:2404.07143,https://arxiv.org/abs/2404.07143,-,long-context-memory,Fixed-parameter compressive memory in attention block,No,No,No,Yes (bounded memory/compute),Yes (fixed-parameter memory),Local + long-term attention,1M passkey / 500K summarization,Solves 1M passkey; effective 500K summarization,MED: bounded compressive memory (paradigm contrast),K (well-known)
recsumm2023,Recursively Summarizing Enables Long-Term Dialogue Memory in LLMs,"Wang, Ding, Cao, Tian, Wang, Tao, Guo",2023,Neurocomputing 2025,arXiv:2308.15022,https://arxiv.org/abs/2308.15022,-,memory-consolidation,Recursively updated NL memory summary,Implicit (old info folded into summary),Within-conversation,No,Yes (bounded summary vs full history),Yes,Recursive,Long-dialogue datasets,More consistent long-context responses,HIGH: consolidation/summarization; no canonical-unit dedup,A (arXiv-fetched)
semdedup2023,SemDeDup: Data-efficient Learning at Web-scale through Semantic Deduplication,"Abbas, Tirumala, Simig, Ganguli, Morcos",2023,arXiv / ICLR23 workshop,arXiv:2303.09540,https://arxiv.org/abs/2303.09540,github.com/facebookresearch/SemDeDup,semantic-dedup,Embeddings -> k-means clusters -> within-cluster cosine sim,YES (canonical: keep one representative per near-dup cluster),N/A (training-data method),No,Yes (smaller training set),N/A,Cluster-based,LAION (CLIP) / C4 (LM),Removes ~50% of LAION with minimal loss; halves training time,VERY HIGH: the canonical semantic-dedup method; not yet applied to agent memory,A (arXiv-fetched)
freshness2026,Don't Ask the LLM to Track Freshness: A Deterministic Recipe for Memory Conflict Resolution,"Reddy, Challaram",2026,arXiv preprint,arXiv:2606.01435,https://arxiv.org/abs/2606.01435,-,memory-conflict-resolution,Fact candidates tagged with serials; deterministic max(serial) selection,Canonicalization by recency (not dedup),N/A,No,No,No,No hierarchy,MemoryAgentBench FactConsolidation,"Single-hop 78.0-94.8%; multi-hop 30.2-51.5%; +28 pts vs HippoRAG-v2",HIGH: canonical-fact selection belongs in deterministic assembly not LLM,V (fetched this session)
llmlingua2023,LLMLingua: Compressing Prompts for Accelerated Inference,"Jiang, Wu, Lin, Yang, Qiu",2023,EMNLP 2023,arXiv:2310.05736,https://arxiv.org/abs/2310.05736,github.com/microsoft/LLMLingua,prompt-compression,Token-level (budget controller allocates across prompt parts),No,No,No,Yes (up to 20x compression),Yes,No,GSM8K/BBH/ShareGPT,Up to 20x compression with little loss,HIGH: foundational budget-controller idea (allocate budget across segments),K (well-known)
longllmlingua2024,LongLLMLingua: Prompt Compression in Long Context Scenarios,"Jiang, Wu, Luo, Li, Lin, Yang, Qiu",2024,ACL 2024,arXiv:2310.06839,https://arxiv.org/abs/2310.06839,github.com/microsoft/LLMLingua,prompt-compression,Document/token-level (question-aware),No,No,No,Yes (~4x fewer tokens; 94% cost cut on LooGLE),Yes,No,NaturalQuestions/LongBench/LooGLE,+21.4% on NQ with ~4x fewer tokens (GPT-3.5),HIGH: query-aware token budgeting across documents,K (well-known)
llmlingua2_2024,LLMLingua-2: Data Distillation for Task-Agnostic Prompt Compression,"Pan, Wu, Jiang, Xia, Luo, Zhang, Lin, Ruhle, Yang, Lin, Zhao, Qiu, Zhang",2024,Findings of ACL 2024,arXiv:2403.12968,https://arxiv.org/abs/2403.12968,github.com/microsoft/LLMLingua,prompt-compression,Token keep/drop classification (bidirectional encoder),No,No,No,Yes (3-6x faster; 1.6-2.9x e2e latency),Yes,No,MeetingBank/LongBench/GSM8K,Outperforms prior; robust cross-LLM,HIGH: efficient learned per-unit keep scorer,K (well-known)
selctx2023,Compressing Context to Enhance Inference Efficiency (Selective Context),"Li, Dong, Guerin, Lin",2023,EMNLP 2023,arXiv:2310.06201,https://arxiv.org/abs/2310.06201,github.com/liyucheng09/Selective_Context,prompt-compression,Lexical units scored by self-information,No,No,No,Yes (ratio-configurable),Yes,No,arXiv/news/dialogue summ+QA,Comparable performance at reduced cost,MED: early per-unit informativeness scoring,A (arXiv-fetched)
recomp2024,RECOMP: Improving RAG with Compression and Selective Augmentation,"Xu, Shi, Choi",2024,ICLR 2024,arXiv:2310.04408,https://arxiv.org/abs/2310.04408,github.com/carriex/recomp,retrieved-context-compression,Extractive (sentence select) + abstractive (summary),Implicit (selects; top-N similarity),No,No,Yes (large ratios; selective augmentation),Yes,No,NQ/TriviaQA/HotpotQA,Maintains/improves QA at large compression,HIGH: canonical query-aware retrieved-context compression,K (well-known)
filco2023,Learning to Filter Context for RAG (FILCO),"Wang, Araki, Jiang, Parvez, Neubig",2023,arXiv preprint,arXiv:2311.08377,https://arxiv.org/abs/2311.08377,github.com/zorazrw/filco,retrieved-context-compression,Sentence spans filtered (StrInc/LexOverlap/CXMI),Implicit,No,No,Yes (shortens context),Yes,No,NQ/TriviaQA/HotpotQA/FEVER/ELI5/WoW,Improves over full-passage baselines,HIGH: CXMI per-sentence utility usable as memory-unit utility signal,A (arXiv-fetched)
provence2025,Provence: Efficient and Robust Context Pruning for RAG,"Chirkova, Formal, Nikoulina, Clinchant",2025,ICLR 2025,arXiv:2501.16214,https://arxiv.org/abs/2501.16214,huggingface.co/naver/provence-reranker-debertav3-v1,retrieved-context-compression,Sentence-level sequence labeling (keep/drop) unified with reranking,Implicit,No,No,Yes (near-zero-cost pruning),Yes,No,Diverse QA domains,Pruning at negligible/no performance drop,HIGH: query-aware reranking + adaptive-amount pruning ~ select just enough,A (arXiv-fetched)
exit2025,EXIT: Context-Aware Extractive Compression for RAG,"Hwang, Cho, Jeong, Song, Han, Park",2025,Findings of ACL 2025,arXiv:2412.12559,https://arxiv.org/abs/2412.12559,github.com/ThisIsHwang/EXIT,retrieved-context-compression,Sentence-level keep/drop classification (parallel),Implicit,No,No,Yes (reduces tokens+time),Yes,No,Single-hop + multi-hop QA,Surpasses prior compressors + uncompressed,MED-HIGH: adaptive per-query sentence selection; fast utility scorer,A (arXiv-fetched)
adagres2025,AdaGReS: Adaptive Greedy Context Selection via Redundancy-Aware Scoring for Token-Budgeted RAG,"Peng, Wang, Long, Sheng",2025,arXiv preprint,arXiv:2512.25052,https://arxiv.org/abs/2512.25052,github.com/orderer0001/AdaGReS,token-budgeted-selection,Retrieved chunks + embedding similarities,Yes (intra-set redundancy penalty),No,No,Yes (token-budget-constrained by construction),Yes (chunk-set reduction),No,NaturalQuestions + biomedical drug corpus,Improved redundancy control + answer quality (numbers unverified),HIGHEST: closest existing formalization of budget-constrained relevance-minus-redundancy set selection w/ submodular guarantees,V (fetched this session)
costaware2026,When Knowledge Is Not Free: Cost-Aware Evidence Selection in RAG,"Wu, Yang, Ben-Porat, Ziser",2026,arXiv preprint,arXiv:2606.02245,https://arxiv.org/abs/2606.02245,available (per abstract),token-budgeted-selection,Passages with access-cost tiers,Yes (redundancy-aware among selectors compared),No,No,Yes (budget-constrained access),Yes (evidence subset),No,MS MARCO v2.1 + friction tiers,No static selector dominates; larger budgets don't reliably help,HIGH: frames selection as budget-constrained; key negative result motivates learned policy,V (fetched this session)
adaptivek2025,Efficient Context Selection for Long-Context QA: Adaptive-k,"Taguchi, Maekawa, Bhutani",2025,EMNLP 2025,arXiv:2506.08479,https://arxiv.org/abs/2506.08479,UNVERIFIED,token-budgeted-selection,Candidate passages + similarity scores,No,No,No,Yes (up to 10x fewer tokens),Indirect,No,Factoid + aggregation QA,Matches/outperforms fixed-k at up to 10x fewer tokens,HIGH: adaptive cardinality (how many units) per query,A (arXiv-fetched)
linbilmes2011,A Class of Submodular Functions for Document Summarization,"Lin, Bilmes",2011,ACL-HLT 2011,ACL:P11-1052,https://aclanthology.org/P11-1052/,-,budgeted-selection-theory,Sentences as ground set,Yes (diversity/redundancy reward),Query-focused extendable,No,Yes (explicit budget/length constraint),Yes (extractive),No,DUC 2004-2007,SOTA ROUGE at the time,HIGH (theory): canonical budget-constrained submodular coverage-minus-redundancy template,K (well-known)
adaptiverag2024,Adaptive-RAG: Adapting RAG through Question Complexity,"Jeong, Baek, Cho, Hwang, Park",2024,NAACL 2024,arXiv:2403.14403,https://arxiv.org/abs/2403.14403,github.com/starsuzi/Adaptive-RAG,rag-optimization,Query-complexity classes -> route no/single/multi retrieval,No,No,No,Yes (routes away from expensive multi-step),No,No,SQuAD/NQ/TriviaQA/MuSiQue/HotpotQA/2Wiki,Matches multi-step accuracy at lower avg cost,MED-HIGH: budget-aware effort allocation per query,K (well-known)
selfrag2024,Self-RAG: Learning to Retrieve Generate and Critique through Self-Reflection,"Asai, Wu, Wang, Sil, Hajishirzi",2024,ICLR 2024 (Oral),arXiv:2310.11511,https://arxiv.org/abs/2310.11511,github.com/AkariAsai/self-rag,rag-optimization,Passages + reflection tokens (Retrieve/IsRel/IsSup/IsUse),No,Indirect (shared corpus),No,Indirect (retrieve only when needed),No,No,PopQA/TriviaQA/PubHealth/ARC/ASQA,7B/13B outperform ChatGPT and RA baselines,MED: adaptive retrieve-or-not gating (utility-of-adding),K (well-known)
flare2023,Active Retrieval Augmented Generation (FLARE),"Jiang, Xu, Gao, Sun, Liu, Dwivedi-Yu, Yang, Callan, Neubig",2023,EMNLP 2023,arXiv:2305.06983,https://arxiv.org/abs/2305.06983,github.com/jzbjyb/FLARE,rag-optimization,Predicted upcoming sentence as query (confidence-triggered),No,No,No,No (adds retrieval calls),No,No,4 long-form knowledge tasks,Superior/competitive vs single-retrieval,MED: retrieve-when-confidence-low = dynamic sufficiency signal,K (well-known)
